district,chiefdom,health_facility,name,yr_2015,yr_2016,,,,,,,,,
Tonkolili,Kholifa Rowalla,Magburaka Govt. Hosp,"Kholifa Rowalla, Magburaka Govt. Hosp",,,,,,,,,,,
Tonkolili,Kholifa Rowalla,Masanga Hosp,"Kholifa Rowalla, Masanga Hosp",,,,,,,,,,,
Tonkolili,Kholifa Rowalla,MCHP UFC Magburaka,"Kholifa Rowalla, MCHP UFC Magburaka",9707,14560.5,,,,,,,,,
Tonkolili,Kholifa Rowalla,MCHP Mabai,"Kholifa Rowalla, MCHP Mabai",5984,8976,,,,,,,,,
Tonkolili,Kholifa Rowalla,MCHP UFC Masanga,"Kholifa Rowalla, MCHP UFC Masanga",5955,8932.5,,,,,,,,,
Tonkolili,Kholifa Rowalla,MCHP Mayossoh,"Kholifa Rowalla, MCHP Mayossoh",6085,9127.5,,,,,,,,,
Tonkolili,Kholifa Rowalla,MCHP Masoko,"Kholifa Rowalla, MCHP Masoko",6396,9594,,,,,,,,,
Tonkolili,Kholifa Rowalla,MCHP Maborie,"Kholifa Rowalla, MCHP Maborie",6628,9942,,,,,,,,,
Tonkolili,Kholifa Rowalla,MCHP Malone,"Kholifa Rowalla, MCHP Malone",7231,10846.5,,,,,,,,,
Tonkolili,Kholifa Rowalla,CHP Mabom,"Kholifa Rowalla, CHP Mabom",5955,8932.5,,,,,,,,,
Tonkolili,Kholifa Rowalla,MCHP Magbass,"Kholifa Rowalla, MCHP Magbass",3665,5497.5,,,,,,,,,
Tonkolili,Kholifa Rowalla,MCHP Mamuntha,"Kholifa Rowalla, MCHP Mamuntha",2685,4027.5,,,,,,,,,
Tonkolili,Kafe Simira,CHC Mabontor,"Kafe Simira, CHC Mabontor",7540,11310,,,,,,,,,
Tonkolili,Kafe Simira,CHP Masumbri,"Kafe Simira, CHP Masumbri",7012,10518,,,,,,,,,
Tonkolili,Kafe Simira,MCHP Makonthandae,"Kafe Simira, MCHP Makonthandae",6341,9511.5,,,,,,,,,
Tonkolili,Kafe Simira,MCHP Mayassoh,"Kafe Simira, MCHP Mayassoh",4008,6012,,,,,,,,,
Tonkolili,Kalansogoia,CHC Bumbuna,"Kalansogoia, CHC Bumbuna",8545,12817.5,,,,,,,,,
