"disease","chiefdom","PHU","pop","epiweek","fyo","cas","dth"
"Diarrhoea Severe dehydratation ","Kholifa Rowalla","MCHP UFC Magburaka","9999","2016-01","o","1",""
"Diarrhoea Severe dehydratation ","Kholifa Rowalla","MCHP UFC Magburaka","9999","2016-01","u","",""
"Diarrhoea Severe dehydratation ","Kholifa Rowalla","MCHP Mayossoh","9999","2016-01","o","",""
"Diarrhoea Severe dehydratation ","Kholifa Rowalla","MCHP Mayossoh","9999","2016-01","u","5",""
"Diarrhoea Severe dehydratation ","Kholifa Rowalla","MCHP Masoko","9999","2016-01","o","",""
"Diarrhoea Severe dehydratation ","Kholifa Rowalla","MCHP Masoko","9999","2016-01","u","4",""
"Diarrhoea Severe dehydratation ","Kholifa Rowalla","CHP Mabom","9999","2016-01","o","2",""
"Diarrhoea Severe dehydratation ","Kholifa Rowalla","CHP Mabom","9999","2016-01","u","8",""
"Diarrhoea Severe dehydratation ","Kholifa Rowalla","MCHP Mamuntha","9999","2016-01","o","6",""
"Diarrhoea Severe dehydratation ","Kholifa Rowalla","MCHP Mamuntha","9999","2016-01","u","6",""
"Diarrhoea Severe dehydratation ","Kafe Simira","CHP Masumbri","9999","2016-01","o","2",""
"Diarrhoea Severe dehydratation ","Kafe Simira","CHP Masumbri","9999","2016-01","u","11",""
"Diarrhoea Severe dehydratation ","Kafe Simira","MCHP Makonthandae","9999","2016-01","o","8",""
"Diarrhoea Severe dehydratation ","Kafe Simira","MCHP Makonthandae","9999","2016-01","u","6",""
"Diarrhoea Severe dehydratation ","Kafe Simira","MCHP Mayassoh","9999","2016-01","o","4",""
"Diarrhoea Severe dehydratation ","Kafe Simira","MCHP Mayassoh","9999","2016-01","u","4",""
"Diarrhoea Severe dehydratation ","Kalansogoia","New Ferengbeya","9999","2016-01","o","2",""
"Diarrhoea Severe dehydratation ","Kalansogoia","New Ferengbeya","9999","2016-01","u","4",""
"Diarrhoea Severe dehydratation ","Sambaya Bendugu","MCHP Kholifaga","9999","2016-01","o","1",""
"Diarrhoea Severe dehydratation ","Sambaya Bendugu","MCHP Kholifaga","9999","2016-01","u","9",""
"Diarrhoea Severe dehydratation ","Sambaya Bendugu","MCHP Ninkikoro","9999","2016-01","o","3",""
"Diarrhoea Severe dehydratation ","Sambaya Bendugu","MCHP Ninkikoro","9999","2016-01","u","5",""
"Diarrhoea Severe dehydratation ","Sambaya Bendugu","MCHP Dankawalia","9999","2016-01","o","3",""
"Diarrhoea Severe dehydratation ","Sambaya Bendugu","MCHP Dankawalia","9999","2016-01","u","6",""
"Diarrhoea Severe dehydratation ","Tane","MCHP Mathonkara","9999","2016-01","o","",""
"Diarrhoea Severe dehydratation ","Tane","MCHP Mathonkara","9999","2016-01","u","1",""
"Diarrhoea Severe dehydratation ","Tane","MCHP Makrugbeh","9999","2016-01","o","3",""
"Diarrhoea Severe dehydratation ","Tane","MCHP Makrugbeh","9999","2016-01","u","3",""
"Diarrhoea Severe dehydratation ","Tane","MCHP Rosengbeh","9999","2016-01","o","5",""
"Diarrhoea Severe dehydratation ","Tane","MCHP Rosengbeh","9999","2016-01","u","4",""
"Diarrhoea Severe dehydratation ","Kunike Barina","MCHP Makoni Line","9999","2016-01","o","2",""
"Diarrhoea Severe dehydratation ","Kunike Barina","MCHP Makoni Line","9999","2016-01","u","3",""
"Diarrhoea Severe dehydratation ","Kunike ","CHC Masingbi","9999","2016-01","o","",""
"Diarrhoea Severe dehydratation ","Kunike ","CHC Masingbi","9999","2016-01","u","5",""
"Diarrhoea Severe dehydratation ","Kunike ","MCHP Masiaka","9999","2016-01","o","6",""
"Diarrhoea Severe dehydratation ","Kunike ","MCHP Masiaka","9999","2016-01","u","8",""
"Diarrhoea Severe dehydratation ","Kunike ","MCHP Fothaneh Junct.","9999","2016-01","o","",""
"Diarrhoea Severe dehydratation ","Kunike ","MCHP Fothaneh Junct.","9999","2016-01","u","12",""
"Diarrhoea Severe dehydratation ","Kunike ","MCHP Magbanto Bana","9999","2016-01","o","",""
"Diarrhoea Severe dehydratation ","Kunike ","MCHP Magbanto Bana","9999","2016-01","u","3",""
