province,zone,name,yr_2016,yr_2017
Bas-Uele,Aketi,"Bas-Uele, Aketi",149215,
Bas-Uele,Ango,"Bas-Uele, Ango",107853,
Bas-Uele,Bili,"Bas-Uele, Bili",66938,
Bas-Uele,Bondo,"Bas-Uele, Bondo",109550,
Bas-Uele,Buta,"Bas-Uele, Buta",191984,
Bas-Uele,Ganga Dingila,"Bas-Uele, Ganga Dingila",129586,
Bas-Uele,Likati,"Bas-Uele, Likati",77960,
Bas-Uele,Monga,"Bas-Uele, Monga",82175,
Bas-Uele,Poko,"Bas-Uele, Poko",125095,
Bas-Uele,Titule,"Bas-Uele, Titule",80217,
Bas-Uele,Viadana,"Bas-Uele, Viadana",108641,
Bas-Uele,,Bas-Uele,1229214,
Haut-Uele,Aba,"Haut-Uele, Aba",133752,
Haut-Uele,Boma Mangbetu,"Haut-Uele, Boma Mangbetu",112400,
Haut-Uele,Doruma,"Haut-Uele, Doruma",71152,
Haut-Uele,Dungu,"Haut-Uele, Dungu",128613,
Haut-Uele, Faradje,"Haut-Uele,  Faradje",125587,
Haut-Uele,Gombari,"Haut-Uele, Gombari",114955,
Haut-Uele,Isiro,"Haut-Uele, Isiro",253223,
Haut-Uele,Makoro,"Haut-Uele, Makoro",146585,
Haut-Uele,Niangara,"Haut-Uele, Niangara",113735,
Haut-Uele,Pawa,"Haut-Uele, Pawa",173010,
Haut-Uele,Rungu,"Haut-Uele, Rungu",106123,
Haut-Uele,Wamba,"Haut-Uele, Wamba",135758,
Haut-Uele,Watsa,"Haut-Uele, Watsa",271451,
Haut-Uele,,Haut-Uele,1886344,
Tshopo,Bafwagbogbo,"Tshopo, Bafwagbogbo",,72300
Tshopo,Bafwasende,"Tshopo, Bafwasende",,86857
Tshopo,Banalia,"Tshopo, Banalia",,148913
Tshopo,Basali,"Tshopo, Basali",,98759
Tshopo,Basoko,"Tshopo, Basoko",,176368
Tshopo,Bengamisa,"Tshopo, Bengamisa",,121587
Tshopo,Isangi,"Tshopo, Isangi",,172052
Tshopo,Kabondo,"Tshopo, Kabondo",,176621
Tshopo,Lowa,"Tshopo, Lowa",,137399
Tshopo,Lubunga,"Tshopo, Lubunga",,158178
Tshopo,Makiso-Kisangani,"Tshopo, Makiso-Kisangani",,338618
Tshopo,Mangobo,"Tshopo, Mangobo",,222314
Tshopo,Opala,"Tshopo, Opala",,137966
Tshopo,Opienge,"Tshopo, Opienge",,66535
Tshopo,Tshopo,"Tshopo, Tshopo",,142465
Tshopo,Ubundu,"Tshopo, Ubundu",,105905
Tshopo,Wanie-Rukula,"Tshopo, Wanie-Rukula",,91095
Tshopo,Yabaondo,"Tshopo, Yabaondo",,173936
Tshopo,Yahisuli,"Tshopo, Yahisuli",,192996
Tshopo,Yahuma,"Tshopo, Yahuma",,220343
Tshopo,Yakusu,"Tshopo, Yakusu",,170632
Tshopo,Yaleko,"Tshopo, Yaleko",,161369
Tshopo,Yalimbongo,"Tshopo, Yalimbongo",,112242
Tshopo,,Tshopo,,3485450
Ituri,Adi,"Ituri, Adi",167488,
Ituri,Adja,"Ituri, Adja",130867,
Ituri,Angumu,"Ituri, Angumu",172371,
Ituri,Ariwara,"Ituri, Ariwara",212897,
Ituri,Aru,"Ituri, Aru",187568,
Ituri,Aungba,"Ituri, Aungba",163881,
Ituri,Bambu-Mines,"Ituri, Bambu-Mines",154267,
Ituri,Biringi,"Ituri, Biringi",126946,
Ituri,Boga,"Ituri, Boga",70183,
Ituri,Bunia,"Ituri, Bunia",278067,
Ituri,Damas,"Ituri, Damas",121059,
Ituri,Drodro,"Ituri, Drodro",160516,
Ituri,Fataki,"Ituri, Fataki",132973,
Ituri,Gety,"Ituri, Gety",193266,
Ituri,Jiba,"Ituri, Jiba",141491,
Ituri,Kambala,"Ituri, Kambala",128232,
Ituri,Kilo,"Ituri, Kilo",57974,
Ituri,Komanda,"Ituri, Komanda",191408,
Ituri,Laybo,"Ituri, Laybo",146815,
Ituri,Linga,"Ituri, Linga",152960,
Ituri,Lita,"Ituri, Lita",132924,
Ituri,Logo,"Ituri, Logo",249220,
Ituri,Lolwa,"Ituri, Lolwa",47426,
Ituri,Mahagi,"Ituri, Mahagi",198302,
Ituri,Mambasa,"Ituri, Mambasa",99362,
Ituri,Mandima,"Ituri, Mandima",143101,
Ituri,Mangala,"Ituri, Mangala",96101,
Ituri,Mongbwalu,"Ituri, Mongbwalu",138273,
Ituri,Nia-Nia,"Ituri, Nia-Nia",73931,
Ituri,Nizi,"Ituri, Nizi",146901,
Ituri,Nyankunde,"Ituri, Nyankunde",101480,
Ituri,Nyarambe,"Ituri, Nyarambe",241647,
Ituri,Rethy,"Ituri, Rethy",207755,
Ituri,Rimba,"Ituri, Rimba",218991,
Ituri,Rwampara,"Ituri, Rwampara",138900,
Ituri,Tchomia,"Ituri, Tchomia",114477,
Ituri,,Ituri,5440020,
