name,pop
Sector 1,12213
"Sector 1, S1-B1",1845
"Sector 1, S1-B2",1364
"Sector 1, S1-B3",991
"Sector 1, S1-B4",2140
"Sector 1, S1-B5",629
"Sector 1, S1-B6",749
"Sector 1, S1-B7",2567
"Sector 1, S1-B8",941
"Sector 1, S1-B9",987
Sector 2,17577
"Sector 2, S2-B1",1815
"Sector 2, S2-B2",1751
"Sector 2, S2-B3",1773
"Sector 2, S2-B4",1381
"Sector 2, S2-B5",1370
"Sector 2, S2-B6",1280
"Sector 2, S2-B7",1758
"Sector 2, S2-B8",1295
"Sector 2, S2-B9",0
"Sector 2, S2-B10",0
"Sector 2, S2-B11",0
"Sector 2, S2-B12",0
"Sector 2, S2-B13",0
"Sector 2, S2-B14",0
"Sector 2, S2-B15",1253
"Sector 2, S2-B16",1875
"Sector 2, S2-B17",2026
Sector 3,25239
"Sector 3, S3-B1",1666
"Sector 3, S3-B2",1816
"Sector 3, S3-B3",1715
"Sector 3, S3-B4",1782
"Sector 3, S3-B5",1853
"Sector 3, S3-B6",1220
"Sector 3, S3-B7",604
"Sector 3, S3-B8",1905
"Sector 3, S3-B9",1593
"Sector 3, S3-B10",1617
"Sector 3, S3-B11",1882
"Sector 3, S3-B12",1761
"Sector 3, S3-B13",1966
"Sector 3, S3-B14",1971
"Sector 3, S3-B15",428
"Sector 3, S3-B16",1460
Sector 4,17254
"Sector 4, S4-B1",1952
"Sector 4, S4-B2",1698
"Sector 4, S4-B3",1005
"Sector 4, S4-B4",2089
"Sector 4, S4-B5",1562
"Sector 4, S4-B6",733
"Sector 4, S4-B7",950
"Sector 4, S4-B8",1571
"Sector 4, S4-B9",1363
"Sector 4, S4-B10",1359
"Sector 4, S4-B11",1105
"Sector 4, S4-B12",1867
Sector 5,29134
"Sector 5, S5-B1",1923
"Sector 5, S5-B2",2006
"Sector 5, S5-B3",1941
"Sector 5, S5-B4",2007
"Sector 5, S5-B5",1940
"Sector 5, S5-B6",1490
"Sector 5, S5-B7",608
"Sector 5, S5-B8",1619
"Sector 5, S5-B9",2596
"Sector 5, S5-B10",2286
"Sector 5, S5-B11",1739
"Sector 5, S5-B12",1778
"Sector 5, S5-B13",1588
"Sector 5, S5-B14",2835
"Sector 5, S5-B15",1604
"Sector 5, S5-B16",1174
