district,chiefdom,health_facility,name,yr_2015,yr_2017,,,,
Tonkolili,Gbonkolenken,Manowo (Gbonkolenken) CHC,"Gbonkolenken, Manowo (Gbonkolenken) CHC",2264,2496,,,,
Tonkolili,Gbonkolenken,Mayepoh CHP,"Gbonkolenken, Mayepoh CHP",6062,6684,,,,
Tonkolili,Gbonkolenken,Yele CHC,"Gbonkolenken, Yele CHC",10310,11367,,,,
Tonkolili,Gbonkolenken,Makonkorie CHP,"Gbonkolenken, Makonkorie CHP",6354,7006,,,,
Tonkolili,Gbonkolenken,Lion Heart Medical Centre,"Gbonkolenken, Lion Heart Medical Centre",,,,,,
Tonkolili,Gbonkolenken,Mabarr Polie MCHP,"Gbonkolenken, Mabarr Polie MCHP",3531,3894,,,,
Tonkolili,Gbonkolenken,Mafay MCHP,"Gbonkolenken, Mafay MCHP",,2012,,,,
Tonkolili,Gbonkolenken,Mansumana CHP,"Gbonkolenken, Mansumana CHP",6261,6903,,,,
Tonkolili,Gbonkolenken,Maraka MCHP,"Gbonkolenken, Maraka MCHP",6039,6718,,,,
Tonkolili,Gbonkolenken,Mathamp MCHP,"Gbonkolenken, Mathamp MCHP",6073,6696,,,,
Tonkolili,Gbonkolenken,Petifu Mayepoh MCHP,"Gbonkolenken, Petifu Mayepoh MCHP",6864,7568,,,,
Tonkolili,Gbonkolenken,Warrima (Gbonkolenken) MCHP,"Gbonkolenken, Warrima (Gbonkolenken) MCHP",5187,5719,,,,
Tonkolili,Gbonkolenken,Yeben MCHP,"Gbonkolenken, Yeben MCHP",6354,7006,,,,
Tonkolili,Gbonkolenken,,Gbonkolenken,65299,74070,,,,
Tonkolili,Kafe Simira,Mabontor CHP,"Kafe Simira, Mabontor CHP",7540,11753,,,,
Tonkolili,Kafe Simira,Masumbrie MCHP,"Kafe Simira, Masumbrie MCHP",7012,10929,,,,
Tonkolili,Kafe Simira,Makonthanday MCHP,"Kafe Simira, Makonthanday MCHP",6341,9884,,,,
Tonkolili,Kafe Simira,Mayassoh MCHP,"Kafe Simira, Mayassoh MCHP",4008,6247,,,,
Tonkolili,Kafe Simira,,Kafe Simira,24901,38814,,,,
Tonkolili,Kalansogoia,Bumbuna CHC,"Kalansogoia, Bumbuna CHC",8545,13636,,,,
Tonkolili,Kalansogoia,Bassaia MCHP,"Kalansogoia, Bassaia MCHP",3586,5722,,,,
Tonkolili,Kalansogoia,Kamasaypana MCHP,"Kalansogoia, Kamasaypana MCHP",2571,4103,,,,
Tonkolili,Kalansogoia,Kathombo CHP,"Kalansogoia, Kathombo CHP",3586,5722,,,,
Tonkolili,Kalansogoia,Kemedugu MCHP,"Kalansogoia, Kemedugu MCHP",3586,5722,,,,
Tonkolili,Kalansogoia,New Ferengbeya MCHP,"Kalansogoia, New Ferengbeya MCHP",1739,2776,,,,
Tonkolili,Kalansogoia,,Kalansogoia,23613,37681,,,,
Tonkolili,Kholifa Mabang,Mabang (Kholifa Mabang) CHC,"Kholifa Mabang, Mabang (Kholifa Mabang) CHC",4430,4287,,,,
Tonkolili,Kholifa Mabang,Komrabai Station MCHP,"Kholifa Mabang, Komrabai Station MCHP",3299,3193,,,,
Tonkolili,Kholifa Mabang,Mabai (Kholifa Mabang) MCHP,"Kholifa Mabang, Mabai (Kholifa Mabang) MCHP",3515,3401,,,,
Tonkolili,Kholifa Mabang,Mamanso Kafla MCHP,"Kholifa Mabang, Mamanso Kafla MCHP",2946,2850,,,,
Tonkolili,Kholifa Mabang,Marunia MCHP,"Kholifa Mabang, Marunia MCHP",1401,1356,,,,
Tonkolili,Kholifa Mabang,Mathinkalol MCHP,"Kholifa Mabang, Mathinkalol MCHP",2769,2680,,,,
Tonkolili,Kholifa Mabang,,Kholifa Mabang,18360,17767,,,,
Tonkolili,Kholifa Rowalla,Mabom CHC,"Kholifa Rowalla, Mabom CHC",5955,6964,,,,
Tonkolili,Kholifa Rowalla,Magburaka Government Hospital,"Kholifa Rowalla, Magburaka Government Hospital",,,,,,
Tonkolili,Kholifa Rowalla,Masanga Leprosy Hospital,"Kholifa Rowalla, Masanga Leprosy Hospital",,,,,,
Tonkolili,Kholifa Rowalla,Mabai (Kholifa Rowalla) MCHP,"Kholifa Rowalla, Mabai (Kholifa Rowalla) MCHP",5984,6998,,,,
Tonkolili,Kholifa Rowalla,Maborie MCHP,"Kholifa Rowalla, Maborie MCHP",6628,7750,,,,
Tonkolili,Kholifa Rowalla,Magbass CHP,"Kholifa Rowalla, Magbass CHP",3665,4285,,,,
Tonkolili,Kholifa Rowalla,Malone MCHP,"Kholifa Rowalla, Malone MCHP",7231,8455,,,,
Tonkolili,Kholifa Rowalla,Mamuntha MCHP,"Kholifa Rowalla, Mamuntha MCHP",2685,3139,,,,
Tonkolili,Kholifa Rowalla,Masoko MCHP,"Kholifa Rowalla, Masoko MCHP",6396,7479,,,,
Tonkolili,Kholifa Rowalla,Mayossoh MCHP,"Kholifa Rowalla, Mayossoh MCHP",6085,7116,,,,
Tonkolili,Kholifa Rowalla,Magburaka MCHP,"Kholifa Rowalla, Magburaka MCHP",9707,11351,,,,
Tonkolili,Kholifa Rowalla,Masanga MCHP,"Kholifa Rowalla, Masanga MCHP",5955,6964,,,,
Tonkolili,Kholifa Rowalla,,Kholifa Rowalla,60291,70501,,,,
Tonkolili,Kunike,Masingbi CHC,"Kunike, Masingbi CHC",10495,13919,,,,
Tonkolili,Kunike,Mamanso Sanka CHP,"Kunike, Mamanso Sanka CHP",6378,8459,,,,
