district,chiefdom,health_facility,name,population,year,source
Tonkolili,Kholifa Rowalla,Magburaka Govt. Hosp,"Kholifa Rowalla, Magburaka Govt. Hosp",,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Kholifa Rowalla,Masanga Hosp,"Kholifa Rowalla, Masanga Hosp",,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Kholifa Rowalla,MCHP UFC Magburaka,"Kholifa Rowalla, MCHP UFC Magburaka",9707,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Kholifa Rowalla,MCHP Mabai,"Kholifa Rowalla, MCHP Mabai",5984,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Kholifa Rowalla,MCHP UFC Masanga,"Kholifa Rowalla, MCHP UFC Masanga",5955,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Kholifa Rowalla,MCHP Mayossoh,"Kholifa Rowalla, MCHP Mayossoh",6085,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Kholifa Rowalla,MCHP Masoko,"Kholifa Rowalla, MCHP Masoko",6396,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Kholifa Rowalla,MCHP Maborie,"Kholifa Rowalla, MCHP Maborie",6628,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Kholifa Rowalla,MCHP Malone,"Kholifa Rowalla, MCHP Malone",7231,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Kholifa Rowalla,CHP Mabom,"Kholifa Rowalla, CHP Mabom",5955,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Kholifa Rowalla,MCHP Magbass,"Kholifa Rowalla, MCHP Magbass",3665,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Kholifa Rowalla,MCHP Mamuntha,"Kholifa Rowalla, MCHP Mamuntha",2685,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Kafe Simira,CHC Mabontor,"Kafe Simira, CHC Mabontor",7540,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Kafe Simira,CHP Masumbri,"Kafe Simira, CHP Masumbri",7012,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Kafe Simira,MCHP Makonthandae,"Kafe Simira, MCHP Makonthandae",6341,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Kafe Simira,MCHP Mayassoh,"Kafe Simira, MCHP Mayassoh",4008,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Kalansogoia,CHC Bumbuna,"Kalansogoia, CHC Bumbuna",8545,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Kalansogoia,MCHP Kathombo,"Kalansogoia, MCHP Kathombo",3586,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Kalansogoia,MCHP Kemedugu,"Kalansogoia, MCHP Kemedugu",3586,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Kalansogoia,MCHP Bassaia,"Kalansogoia, MCHP Bassaia",3586,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Kalansogoia,MCHP Kamasaypana,"Kalansogoia, MCHP Kamasaypana",2571,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
Tonkolili,Kalansogoia,New Ferengbeya,"Kalansogoia, New Ferengbeya",1739,2015,"Monitoring and Evaluation Unit, DHMT, Tonkolili District "
