district,region,name,yr_2014,yr_2015,yr_2016,yr_2018
Batha,Ati,"Batha, Ati",234820,234820,162804,60448
Batha,Oum Hadjer,"Batha, Oum Hadjer",214191,214191,150280,158156
Batha,Alifat,"Batha, Alifat",,,93925,112451
Batha,Assinet,"Batha, Assinet",,,75140,89264
Batha,Yao,"Batha, Yao",131124,131124,144018,110910
Batha,Djedda,"Batha, Djedda",,,,54014
Batha,Koudjourou,"Batha, Koudjourou",,,,84908
Batha,,Batha,580135,580135,626167,670151
Ennedi Est,Amdjarasse,"Ennedi Est, Amdjarasse",76390,76390,82443,63450
Ennedi Est,Bahaï,"Ennedi Est, Bahaï",33126,33126,35751,64655
Ennedi Est,Kawra,"Ennedi Est, Kawra",17926,17926,19346,34754
Ennedi Est,,Ennedi Est,127441,127441,137540,162859
Ennedi Ouest,Fada,"Ennedi Ouest, Fada",46681,46681,50385,54069
Ennedi Ouest,Kalaït,"Ennedi Ouest, Kalaït",25313,25313,27322,
Ennedi Ouest,Mourtcha,"Ennedi Ouest, Mourtcha",25313,25313,27322,29320
Ennedi Ouest,,Ennedi Ouest,71994,71994,77707,83389
Chari-Baguirmi,Massenya,"Chari-Baguirmi, Massenya",115678,115678,124857,176680
Chari-Baguirmi,Dourbali,"Chari-Baguirmi, Dourbali",133404,133404,143990,182910
Chari-Baguirmi,Mandalia,"Chari-Baguirmi, Mandalia",217231,217231,234468,179587
Chari-Baguirmi,Bousso,"Chari-Baguirmi, Bousso",220673,220673,110364,118202
Chari-Baguirmi,Ba Illi,"Chari-Baguirmi, Ba Illi",,,90081,130330
Chari-Baguirmi,Kouno,"Chari-Baguirmi, Kouno",,,37739,42945
Chari-Baguirmi,,Chari-Baguirmi,686987,686987,741499,830654
Guera,Mongo,"Guera, Mongo",204813,204813,221064,177131
Guera,Bitkine,"Guera, Bitkine",198858,198858,214637,234251
Guera,Melfi,"Guera, Melfi",123011,123011,132772,134069
Guera,Baro,"Guera, Baro",,,,62743
Guera,Mangalme,"Guera, Mangalme",112720,112720,121664,131701
Guera,,Guera,639402,639402,690137,739895
Hadjer Lamis,Massakory,"Hadjer Lamis, Massakory",223698,223698,241449,270163
Hadjer Lamis,Bokoro,"Hadjer Lamis, Bokoro",271315,271315,292844,261811
Hadjer Lamis,Massaguet,"Hadjer Lamis, Massaguet",178236,178236,66847,143477
Hadjer Lamis,Gama,"Hadjer Lamis, Gama",,,,92750
Hadjer Lamis,Karal,"Hadjer Lamis, Karal",,,,111654
Hadjer Lamis,Mani,"Hadjer Lamis, Mani",,,125531,110949
Hadjer Lamis,,Hadjer Lamis,673249,673249,726671,990804
Tibesti,Bardai,"Tibesti, Bardai",30266,30266,18443,23329
Tibesti,Zouar,"Tibesti, Zouar",,,14224,10027
Tibesti,,Tibesti,30266,30266,32667,33356
Kanem,Mao,"Kanem, Mao",181943,181943,196361,216855
Kanem,Nokou,"Kanem, Nokou",70639,70639,76232,18606
Kanem,Rig Rig,"Kanem, Rig Rig",37418,37418,40378,65414
Kanem,N'Tiona,"Kanem, N'Tiona",,,,63162
