"disease","district","region","epiweek","cas","dec"
"Piqure de Scorpion","Ati","Batha","2017-01","8",""
"Piqure de Scorpion","Oum Hadjer","Batha","2017-01","1",""
"Piqure de Scorpion","Alifat","Batha","2017-01","3",""
"Piqure de Scorpion","Assinet","Batha","2017-01","",""
"Piqure de Scorpion","Yao","Batha","2017-01","1",""
"Piqure de Scorpion","Amdjarasse","Ennedi Est","2017-01","3","1"
"Piqure de Scorpion","Bahaï","Ennedi Est","2017-01","3",""
"Piqure de Scorpion","Kawra","Ennedi Est","2017-01","1","1"
"Piqure de Scorpion","Fada","Ennedi Ouest","2017-01","2","1"
"Piqure de Scorpion","Kalaït","Ennedi Ouest","2017-01","1","1"
"Piqure de Scorpion","Massenya","Chari-Baguirmi","2017-01","1","1"
"Piqure de Scorpion","Dourbali","Chari-Baguirmi","2017-01","7","1"
"Piqure de Scorpion","Mandalia","Chari-Baguirmi","2017-01","",""
"Piqure de Scorpion","Bousso","Chari-Baguirmi","2017-01","",""
"Piqure de Scorpion","Ba Illi","Chari-Baguirmi","2017-01","",""
"Piqure de Scorpion","Kouno","Chari-Baguirmi","2017-01","",""
"Piqure de Scorpion","Mongo","Guera","2017-01","2","1"
"Piqure de Scorpion","Bitkine","Guera","2017-01","","1"
"Piqure de Scorpion","Melfi","Guera","2017-01","21",""
"Piqure de Scorpion","Mangalme","Guera","2017-01","7","2"
"Piqure de Scorpion","Massakory","Hadjer Lamis","2017-01","2",""
"Piqure de Scorpion","Bokoro","Hadjer Lamis","2017-01","21",""
"Piqure de Scorpion","Massaguet","Hadjer Lamis","2017-01","1",""
"Piqure de Scorpion","Mani","Hadjer Lamis","2017-01","1",""
"Piqure de Scorpion","Bardai","Tibesti","2017-01","",""
"Piqure de Scorpion","Zouar","Tibesti","2017-01","2",""
"Piqure de Scorpion","Mao","Kanem","2017-01","26",""
"Piqure de Scorpion","Nokou","Kanem","2017-01","6",""
"Piqure de Scorpion","Rig Rig","Kanem","2017-01","5",""
"Piqure de Scorpion","Mondo","Kanem","2017-01","","1"
"Piqure de Scorpion","Moussoro","Barh-Elgazal","2017-01","19",""
"Piqure de Scorpion","Chaddra","Barh-Elgazal","2017-01","16","2"
"Piqure de Scorpion","Salal","Barh-Elgazal","2017-01","9",""
"Piqure de Scorpion","Michemire","Barh-Elgazal","2017-01","",""
"Piqure de Scorpion","Bol","Lac","2017-01","5","1"
"Piqure de Scorpion","Bagassoula","Lac","2017-01","",""
"Piqure de Scorpion","Ngouri","Lac","2017-01","","2"
"Piqure de Scorpion","Kouloudia","Lac","2017-01","3",""
"Piqure de Scorpion","Liwa","Lac","2017-01","","1"
"Piqure de Scorpion","Isseirom","Lac","2017-01","","2"
"Piqure de Scorpion","Moundou","Logone Occidental","2017-01","3","1"
"Piqure de Scorpion","Laokassy","Logone Occidental","2017-01","2",""
"Piqure de Scorpion","Benoye","Logone Occidental","2017-01","10",""
"Piqure de Scorpion","Doba","Logone Oriental","2017-01","4",""
"Piqure de Scorpion","Bodo","Logone Oriental","2017-01","1",""
"Piqure de Scorpion","Bebeto","Logone Oriental","2017-01","",""
"Piqure de Scorpion","Bébédja","Logone Oriental","2017-01","4",""
"Piqure de Scorpion","Gore","Logone Oriental","2017-01","",""
"Piqure de Scorpion","Béssao","Logone Oriental","2017-01","23","1"
"Piqure de Scorpion","Larmanaye","Logone Oriental","2017-01","",""
"Piqure de Scorpion","Koumra","Mandoul","2017-01","10","2"
"Piqure de Scorpion","Goundi","Mandoul","2017-01","",""
"Piqure de Scorpion","Moissala","Mandoul","2017-01","2",""
"Piqure de Scorpion","Bedjondo","Mandoul","2017-01","20",""
"Piqure de Scorpion","Bouna","Mandoul","2017-01","8",""
"Piqure de Scorpion","Bongor","Mayo-Kebbi-Est","2017-01","13",""
"Piqure de Scorpion","Gounou Gaya","Mayo-Kebbi-Est","2017-01","5",""
"Piqure de Scorpion","Guelendeng","Mayo-Kebbi-Est","2017-01","",""
"Piqure de Scorpion","Fianga","Mayo-Kebbi-Est","2017-01","8",""
"Piqure de Scorpion","Pont Carol","Mayo-Kebbi-Est","2017-01","",""
"Piqure de Scorpion","Moulkou","Mayo-Kebbi-Est","2017-01","",""
"Piqure de Scorpion","Youe","Mayo-Kebbi-Est","2017-01","4",""
"Piqure de Scorpion","Pala","Mayo-Kebbi-Ouest","2017-01","11",""
"Piqure de Scorpion","Lere","Mayo-Kebbi-Ouest","2017-01","7",""
"Piqure de Scorpion","Gagal","Mayo-Kebbi-Ouest","2017-01","4",""
"Piqure de Scorpion","Torrock","Mayo-Kebbi-Ouest","2017-01","1","1"
"Piqure de Scorpion","Lagon","Mayo-Kebbi-Ouest","2017-01","",""
"Piqure de Scorpion","Binder","Mayo-Kebbi-Ouest","2017-01","2",""
"Piqure de Scorpion","Lame","Mayo-Kebbi-Ouest","2017-01","",""
"Piqure de Scorpion","Sarh","Moyen-Chari","2017-01","","2"
"Piqure de Scorpion","Danamadji","Moyen-Chari","2017-01","",""
"Piqure de Scorpion","Kyabe","Moyen-Chari","2017-01","1",""
"Piqure de Scorpion","Biobé Singako","Moyen-Chari","2017-01","6",""
"Piqure de Scorpion","Ndjamena-Nord","Ndjamena","2017-01","",""
"Piqure de Scorpion","Ndjamena-Centre","Ndjamena","2017-01","4",""
"Piqure de Scorpion","Ndjamena-Sud","Ndjamena","2017-01","",""
"Piqure de Scorpion","Ndjamena-Est","Ndjamena","2017-01","10",""
"Piqure de Scorpion","Faya","Borkou","2017-01","14","2"
"Piqure de Scorpion","Kirdimi","Borkou","2017-01","","1"
"Piqure de Scorpion","Abeche","Ouaddai","2017-01","3","1"
"Piqure de Scorpion","Abdi","Ouaddai","2017-01","4","2"
"Piqure de Scorpion","Adre","Ouaddai","2017-01","10",""
"Piqure de Scorpion","Abougoudam","Ouaddai","2017-01","","1"
"Piqure de Scorpion","Gozbeida","Sila","2017-01","","2"
"Piqure de Scorpion","Amdam","Sila","2017-01","6","1"
"Piqure de Scorpion","Tissi","Sila","2017-01","4",""
"Piqure de Scorpion","Koukou Angarana","Sila","2017-01","",""
"Piqure de Scorpion","Amtiman","Salamat","2017-01","4",""
"Piqure de Scorpion","Aboudeia","Salamat","2017-01","2",""
"Piqure de Scorpion","Haraze Mangueigne","Salamat","2017-01","",""
"Piqure de Scorpion","Lai","Tandjile","2017-01","",""
"Piqure de Scorpion","Dono Manga","Tandjile","2017-01","11",""
"Piqure de Scorpion","Kelo","Tandjile","2017-01","","2"
"Piqure de Scorpion","Bere","Tandjile","2017-01","",""
"Piqure de Scorpion","Biltine","Wadi Fira","2017-01","3","1"
"Piqure de Scorpion","Guereda","Wadi Fira","2017-01","",""
"Piqure de Scorpion","Iriba","Wadi Fira","2017-01","7",""
"Piqure de Scorpion","Matadjana","Wadi Fira","2017-01","",""
"Suspicion de Paludisme","Ati","Batha","2017-01","",""
"Suspicion de Paludisme","Oum Hadjer","Batha","2017-01","",""
