disease,chiefdom,PHU,pop,epiweek,fyo,cas,dth
Diarrhoea Severe dehydratation,Kholifa Rowalla,Magburaka MCHP,9999,2016-01,o,1,
Diarrhoea Severe dehydratation,Kholifa Rowalla,Magburaka MCHP,9999,2016-01,u,,
Diarrhoea Severe dehydratation,Kholifa Rowalla,Mayossoh MCHP,9999,2016-01,o,,
Diarrhoea Severe dehydratation,Kholifa Rowalla,Mayossoh MCHP,9999,2016-01,u,5,
Diarrhoea Severe dehydratation,Kholifa Rowalla,Masoko MCHP,9999,2016-01,o,,
Diarrhoea Severe dehydratation,Kholifa Rowalla,Masoko MCHP,9999,2016-01,u,4,
Diarrhoea Severe dehydratation,Kholifa Rowalla,Mabom CHC,9999,2016-01,o,2,
Diarrhoea Severe dehydratation,Kholifa Rowalla,Mabom CHC,9999,2016-01,u,8,
Diarrhoea Severe dehydratation,Kholifa Rowalla,Mamuntha MCHP,9999,2016-01,o,6,
Diarrhoea Severe dehydratation,Kholifa Rowalla,Mamuntha MCHP,9999,2016-01,u,6,
Diarrhoea Severe dehydratation,Kafe Simira,Masumbrie MCHP,9999,2016-01,o,2,
Diarrhoea Severe dehydratation,Kafe Simira,Masumbrie MCHP,9999,2016-01,u,11,
Diarrhoea Severe dehydratation,Kafe Simira,Makonthanday MCHP,9999,2016-01,o,8,
Diarrhoea Severe dehydratation,Kafe Simira,Makonthanday MCHP,9999,2016-01,u,6,
Diarrhoea Severe dehydratation,Kafe Simira,Mayassoh MCHP,9999,2016-01,o,4,
Diarrhoea Severe dehydratation,Kafe Simira,Mayassoh MCHP,9999,2016-01,u,4,
Diarrhoea Severe dehydratation,Kalansogoia,New Ferengbeya MCHP,9999,2016-01,o,2,
Diarrhoea Severe dehydratation,Kalansogoia,New Ferengbeya MCHP,9999,2016-01,u,4,
Diarrhoea Severe dehydratation,Sambaya Bendugu,Kholifaga MCHP,9999,2016-01,o,1,
Diarrhoea Severe dehydratation,Sambaya Bendugu,Kholifaga MCHP,9999,2016-01,u,9,
Diarrhoea Severe dehydratation,Sambaya Bendugu,Ninkikoro MCHP,9999,2016-01,o,3,
Diarrhoea Severe dehydratation,Sambaya Bendugu,Ninkikoro MCHP,9999,2016-01,u,5,
Diarrhoea Severe dehydratation,Sambaya Bendugu,Dankawalia MCHP,9999,2016-01,o,3,
Diarrhoea Severe dehydratation,Sambaya Bendugu,Dankawalia MCHP,9999,2016-01,u,6,
Diarrhoea Severe dehydratation,Tane,Mathonkara MCHP,9999,2016-01,o,,
Diarrhoea Severe dehydratation,Tane,Mathonkara MCHP,9999,2016-01,u,1,
Diarrhoea Severe dehydratation,Tane,Makrugbeh CHP,9999,2016-01,o,3,
Diarrhoea Severe dehydratation,Tane,Makrugbeh CHP,9999,2016-01,u,3,
Diarrhoea Severe dehydratation,Tane,Rosengbeh MCHP,9999,2016-01,o,5,
Diarrhoea Severe dehydratation,Tane,Rosengbeh MCHP,9999,2016-01,u,4,
Diarrhoea Severe dehydratation,Kunike Barina,Makoni Line MCHP,9999,2016-01,o,2,
Diarrhoea Severe dehydratation,Kunike Barina,Makoni Line MCHP,9999,2016-01,u,3,
Diarrhoea Severe dehydratation,Kunike,Masingbi CHC,9999,2016-01,o,,
Diarrhoea Severe dehydratation,Kunike,Masingbi CHC,9999,2016-01,u,5,
Diarrhoea Severe dehydratation,Kunike,Masiaka (Kunike) MCHP,9999,2016-01,o,6,
Diarrhoea Severe dehydratation,Kunike,Masiaka (Kunike) MCHP,9999,2016-01,u,8,
Diarrhoea Severe dehydratation,Kunike,Fothaneh Junction MCHP,9999,2016-01,o,,
Diarrhoea Severe dehydratation,Kunike,Fothaneh Junction MCHP,9999,2016-01,u,12,
Diarrhoea Severe dehydratation,Kunike,Magbanto Bana MCHP,9999,2016-01,o,,
Diarrhoea Severe dehydratation,Kunike,Magbanto Bana MCHP,9999,2016-01,u,3,
Diarrhoea Severe dehydratation,Gbonkolenken,Lion Heart Medical Centre,9999,2016-01,o,2,
Diarrhoea Severe dehydratation,Gbonkolenken,Lion Heart Medical Centre,9999,2016-01,u,2,
Diarrhoea Severe dehydratation,Gbonkolenken,Yele CHC,9999,2016-01,o,,
Diarrhoea Severe dehydratation,Gbonkolenken,Yele CHC,9999,2016-01,u,2,
Diarrhoea Severe dehydratation,Gbonkolenken,Mayepoh CHP,9999,2016-01,o,,
Diarrhoea Severe dehydratation,Gbonkolenken,Mayepoh CHP,9999,2016-01,u,5,
Diarrhoea Severe dehydratation,Gbonkolenken,Makonkorie CHP,9999,2016-01,o,,
Diarrhoea Severe dehydratation,Gbonkolenken,Makonkorie CHP,9999,2016-01,u,8,
Diarrhoea Severe dehydratation,Gbonkolenken,Petifu Mayepoh MCHP,9999,2016-01,o,4,
Diarrhoea Severe dehydratation,Gbonkolenken,Petifu Mayepoh MCHP,9999,2016-01,u,4,
Diarrhoea Severe dehydratation,Gbonkolenken,Mafay MCHP,9999,2016-01,o,,
Diarrhoea Severe dehydratation,Gbonkolenken,Mafay MCHP,9999,2016-01,u,4,
Diarrhoea Severe dehydratation,Gbonkolenken,Manowo (Gbonkolenken) CHC,9999,2016-01,o,,
Diarrhoea Severe dehydratation,Gbonkolenken,Manowo (Gbonkolenken) CHC,9999,2016-01,u,7,
Diarrhoea Severe dehydratation,Kholifa Mabang,Mabang (Kholifa Mabang) CHC,9999,2016-01,o,3,
Diarrhoea Severe dehydratation,Kholifa Mabang,Mabang (Kholifa Mabang) CHC,9999,2016-01,u,2,
Diarrhoea Severe dehydratation,Kholifa Mabang,Mamanso Kafla MCHP,9999,2016-01,o,,
Diarrhoea Severe dehydratation,Kholifa Mabang,Mamanso Kafla MCHP,9999,2016-01,u,1,
Diarrhoea Severe dehydratation,Malal Mara,Mara CHC,9999,2016-01,o,,
Diarrhoea Severe dehydratation,Malal Mara,Mara CHC,9999,2016-01,u,3,
Diarrhoea Severe dehydratation,Malal Mara,Manewa MCHP,9999,2016-01,o,,
Diarrhoea Severe dehydratation,Malal Mara,Manewa MCHP,9999,2016-01,u,2,
Diarrhoea Severe dehydratation,Malal Mara,Kiampkakolo MCHP,9999,2016-01,o,1,
Diarrhoea Severe dehydratation,Malal Mara,Kiampkakolo MCHP,9999,2016-01,u,2,
Diarrhoea Severe dehydratation,Yoni,Magboki Road Mile 91 CHP,9999,2016-01,o,4,
Diarrhoea Severe dehydratation,Yoni,Magboki Road Mile 91 CHP,9999,2016-01,u,6,
Diarrhoea Severe dehydratation,Yoni,Bakeloko MCHP,9999,2016-01,o,3,
Diarrhoea Severe dehydratation,Yoni,Bakeloko MCHP,9999,2016-01,u,8,
Diarrhoea Severe dehydratation,Yoni,Mathoir CHC,9999,2016-01,o,,
Diarrhoea Severe dehydratation,Yoni,Mathoir CHC,9999,2016-01,u,1,
Diarrhoea Severe dehydratation,Yoni,Rokimbi MCHP,9999,2016-01,o,,
Diarrhoea Severe dehydratation,Yoni,Rokimbi MCHP,9999,2016-01,u,3,
Diarrhoea Severe dehydratation,Yoni,Petifu Fulamasa MCHP,9999,2016-01,o,,
Diarrhoea Severe dehydratation,Yoni,Petifu Fulamasa MCHP,9999,2016-01,u,2,
Diarrhoea Severe dehydratation,Yoni,Maseprr MCHP,9999,2016-01,o,,
Diarrhoea Severe dehydratation,Yoni,Maseprr MCHP,9999,2016-01,u,3,
Dysentery (Bloody Diarrhea),Kafe Simira,Masumbrie MCHP,9999,2016-01,o,1,
Dysentery (Bloody Diarrhea),Kafe Simira,Masumbrie MCHP,9999,2016-01,u,,
Dysentery (Bloody Diarrhea),Kunike Barina,Makali (Kunike Barina) CHC,9999,2016-01,o,,
Dysentery (Bloody Diarrhea),Kunike Barina,Makali (Kunike Barina) CHC,9999,2016-01,u,6,
Dysentery (Bloody Diarrhea),Malal Mara,Kiampkakolo MCHP,9999,2016-01,o,1,
Dysentery (Bloody Diarrhea),Malal Mara,Kiampkakolo MCHP,9999,2016-01,u,1,
Dysentery (Bloody Diarrhea),Yoni,Masengbeh CHP,9999,2016-01,o,2,
Dysentery (Bloody Diarrhea),Yoni,Masengbeh CHP,9999,2016-01,u,1,
Severe Malnutrition,Kholifa Rowalla,Magburaka Government Hospital,9999,2016-01,o,,
Severe Malnutrition,Kholifa Rowalla,Magburaka Government Hospital,9999,2016-01,u,3,
Severe Malnutrition,Kafe Simira,Masumbrie MCHP,9999,2016-01,o,,
Severe Malnutrition,Kafe Simira,Masumbrie MCHP,9999,2016-01,u,2,
Severe Malnutrition,Kalansogoia,Bumbuna CHC,9999,2016-01,o,,
Severe Malnutrition,Kalansogoia,Bumbuna CHC,9999,2016-01,u,3,
Severe Malnutrition,Tane,Makrugbeh CHP,9999,2016-01,o,,
Severe Malnutrition,Tane,Makrugbeh CHP,9999,2016-01,u,2,
Severe Malnutrition,Tane,Mathufulie MCHP,9999,2016-01,o,,
Severe Malnutrition,Tane,Mathufulie MCHP,9999,2016-01,u,2,
Severe Malnutrition,Tane,Rosengbeh MCHP,9999,2016-01,o,,
Severe Malnutrition,Tane,Rosengbeh MCHP,9999,2016-01,u,9,
Severe Malnutrition,Kunike Barina,Makoni Line MCHP,9999,2016-01,o,,
Severe Malnutrition,Kunike Barina,Makoni Line MCHP,9999,2016-01,u,3,
Severe Malnutrition,Kunike,Masiaka (Kunike) MCHP,9999,2016-01,o,,
Severe Malnutrition,Kunike,Masiaka (Kunike) MCHP,9999,2016-01,u,3,
Severe Malnutrition,Gbonkolenken,Lion Heart Medical Centre,9999,2016-01,o,,
Severe Malnutrition,Gbonkolenken,Lion Heart Medical Centre,9999,2016-01,u,1,
Severe Malnutrition,Gbonkolenken,Yele CHC,9999,2016-01,o,,
Severe Malnutrition,Gbonkolenken,Yele CHC,9999,2016-01,u,2,
Severe Malnutrition,Gbonkolenken,Mafay MCHP,9999,2016-01,o,,
Severe Malnutrition,Gbonkolenken,Mafay MCHP,9999,2016-01,u,1,
Severe Malnutrition,Malal Mara,Kiampkakolo MCHP,9999,2016-01,o,,
Severe Malnutrition,Malal Mara,Kiampkakolo MCHP,9999,2016-01,u,6,
Severe Malnutrition,Yoni,Bakeloko MCHP,9999,2016-01,o,,
Severe Malnutrition,Yoni,Bakeloko MCHP,9999,2016-01,u,1,
Neonatal Tetanus,Kholifa Rowalla,Magburaka MCHP,9999,2016-01,o,,
Neonatal Tetanus,Kholifa Rowalla,Magburaka MCHP,9999,2016-01,u,1,
Sever Pneumonia,Kholifa Rowalla,Magburaka MCHP,9999,2016-01,o,10,
Sever Pneumonia,Kholifa Rowalla,Magburaka MCHP,9999,2016-01,u,60,
Sever Pneumonia,Kholifa Rowalla,Masoko MCHP,9999,2016-01,o,2,
Sever Pneumonia,Kholifa Rowalla,Masoko MCHP,9999,2016-01,u,5,
Sever Pneumonia,Kholifa Rowalla,Mabom CHC,9999,2016-01,o,7,
Sever Pneumonia,Kholifa Rowalla,Mabom CHC,9999,2016-01,u,6,
Sever Pneumonia,Kholifa Rowalla,Mamuntha MCHP,9999,2016-01,o,3,
Sever Pneumonia,Kholifa Rowalla,Mamuntha MCHP,9999,2016-01,u,20,
Sever Pneumonia,Kafe Simira,Masumbrie MCHP,9999,2016-01,o,11,
Sever Pneumonia,Kafe Simira,Masumbrie MCHP,9999,2016-01,u,43,
Sever Pneumonia,Kafe Simira,Makonthanday MCHP,9999,2016-01,o,9,
Sever Pneumonia,Kafe Simira,Makonthanday MCHP,9999,2016-01,u,7,
