province,zone,epiweek,disease,fyo,cas,dec
Ituri,Nyarambe,2017-23,MENINGITE,u,72,0
Ituri,Tchomia,2018-13,TNN,u,56,0
Ituri,Kambala,2017-43,FIEVRE HEMORRAGIQUE EBOLA,u,300,2
ITURI,linga,2018-01,RAGE,u,68,0
Ituri,Rimba,2018-07,FIEVRE JAUNE,u,24,0
Ituri,Angumu,2017-39,FIEVRE JAUNE,u,2,0
Ituri,Lolwa,2016-48,IRA,u,38,2
Ituri,Rimba,2018-18,RAGE,u,51,0
Ituri,Ariwara,2018-18,COQUELUCHE,u,320,0
Ituri,Tchomia,2018-04,FIEVRE JAUNE,u,28,0
Ituri,Angumu,2017-08,IRA,u,12,0
Ituri,Laybo,2017-23,PESTE,u,80,0
Ituri,Boga,2017-21,FIEVRE JAUNE,u,20,6
Ituri,Nyankunde,2016-34,COQUELUCHE,u,150,0
Ituri,Lolwa,2016-42,FIEVRE HEMORRAGIQUE EBOLA,u,120,0
Ituri,Logo,2017-39,MENINGITE,u,64,4
Ituri,Kambala,2017-42,FIEVRE TYPHOIDE,u,280,0
Ituri,Rwampara,2018-09,DECES MATERNEL,u,10,0
Ituri,Mandima,2017-13,DIARR SANGLANTE,u,88,2
Ituri,Tchomia,2017-42,IRA,u,12,0
Ituri,Tchomia,2017-08,DIARR SANGLANTE,u,14,0
Ituri,Rethy,2018-10,FIEVRE HEMORRAGIQUE EBOLA,u,72,0
Ituri,Laybo,2018-14,PESTE,u,95,0
Ituri,Fataki,2016-51,PALUDISME,u,0,0
Ituri,Bunia,2016-25,COQUELUCHE,u,120,0
Ituri,Kilo,2018-07,DECES MATERNEL,u,64,0
Ituri,Rethy,2017-38,COQUELUCHE,u,32,0
Ituri,Aru,2018-12,FIEVRE TYPHOIDE,u,88,4
Ituri,Lita,2016-44,TNN,u,11,0
Ituri,Aungba,2018-06,DIARR SANGLANTE,u,18,0
Ituri,Tchomia,2018-10,IRA,u,240,0
Ituri,Nia-Nia,2017-27,FIEVRE TYPHOIDE,u,80,0
Ituri,Kilo,2016-28,DIARR SANGLANTE,u,400,0
Ituri,Mahagi,2017-47,TNN,u,72,0
Ituri,Mambasa,2017-13,TNN,u,20,0
Ituri,Bambu-Mines,2017-51,DIARR SANGLANTE,u,120,0
Ituri,Nizi,2017-43,DIARR SANGLANTE,u,340,0
Ituri,Kambala,2016-42,TNN,u,42,0
Ituri,Jiba,2016-20,FIEVRE TYPHOIDE,u,9,2
Ituri,Rethy,2016-42,COQUELUCHE,u,120,0
Ituri,Mongbwalu,2016-41,DECES MATERNEL,u,54,0
Ituri,Mangala,2016-46,PESTE,u,152,0
Ituri,Angumu,2017-12,COQUELUCHE,u,108,0
Ituri,Mahagi,2018-02,IRA,u,100,0
Ituri,Rwampara,2017-16,ROUGEOLE,u,36,3
Ituri,Mongbwalu,2017-01,PESTE,u,140,0
Ituri,Aru,2016-51,FIEVRE TYPHOIDE,u,7,4
Ituri,Komanda,2018-09,PFA,u,16,0
Ituri,Lolwa,2017-39,RAGE,u,12,1
Ituri,Mandima,2017-27,COQUELUCHE,u,108,2
Ituri,Nyarambe,2017-44,ROUGEOLE,u,120,0
Ituri,Bunia,2017-52,COQUELUCHE,u,30,0
Ituri,Laybo,2017-14,FIEVRE HEMORRAGIQUE EBOLA,u,16,2
Ituri,Nia-Nia,2018-01,TNN,u,25,0
Ituri,Drodro,2018-08,COQUELUCHE,u,0,0
Ituri,Damas,2017-07,MENINGITE,u,140,0
Ituri,Nyankunde,2017-23,CHOLERA,u,72,0
Ituri,Angumu,2017-17,RAGE,u,104,0
Ituri,Aru,2017-33,FIEVRE JAUNE,u,136,0
Ituri,Ariwara,2017-02,COQUELUCHE,u,340,0
Ituri,Ariwara,2016-22,CHOLERA,u,66,0
Ituri,Aru,2017-30,COQUELUCHE,u,4,0
Ituri,Mandima,2017-05,ROUGEOLE,u,6,2
Ituri,Mangala,2018-09,DIARR SANGLANTE,u,24,0
Ituri,Boga,2016-21,MENINGITE,u,180,1
Ituri,Ariwara,2017-42,PALUDISME,u,26,0
Ituri,Logo,2016-43,COQUELUCHE,u,40,0
Ituri,Bambu-Mines,2017-52,IRA,u,12,0
Ituri,Komanda,2017-49,FIEVRE JAUNE,u,80,0
Ituri,Mahagi,2018-04,TNN,u,40,0
Ituri,Nyarambe,2017-27,PALUDISME,u,30,0
Ituri,Kilo,2017-36,FIEVRE JAUNE,u,216,0
Ituri,Aru,2017-40,FIEVRE HEMORRAGIQUE EBOLA,u,20,0
Ituri,Lita,2017-52,CHOLERA,u,95,0
Ituri,Adi,2016-39,COQUELUCHE,u,38,0
Ituri,Biringi,2017-37,MENINGITE,u,40,0
Ituri,Komanda,2018-03,FIEVRE HEMORRAGIQUE EBOLA,u,102,0
Ituri,Adi,2017-18,RAGE,u,20,0
Ituri,Jiba,2017-32,PFA,u,36,0
Ituri,Boga,2016-24,IRA,u,18,0
