name,pop
Ankoro,227882
Baka,82343
Bukama,245780
Bunkeya,40969
Butumba,138648
Dilala,86156
Dilolo,114210
Fungurume,80304
Kabalo,160038
Kabondo Dianda,186372
Kabongo,230602
Kafakumba,86556
Kafubu,76060
Kalamba,70322
Kalemie,131782
Kamalondo,49574
Kambove,76844
Kamina,225373
Kampemba,238177
Kaniama,208864
Kansimba,105328
Kanzenze,48479
Kapanga,106792
Kapolowe,98741
Kasaji,182368
Kasenga,217730
Kashobwe,132780
Katuba,179154
Kayamba,97817
Kenya,160523
Kikula,107256
Kilela Balanda,52116
Kilwa,200232
Kinda,61640
Kinkondja,242153
Kipushi,142135
Kisanga,113574
Kitenge,236666
Kiyambi,85933
Kongolo,144274
Kowe,10682
Likasi,77575
Lualaba,73379
Lubudi,58670
Lubumbashi,131274
Lukafu,101991
Lwamba,100863
Malemba Nkulu,198921
Manika,162195
Manono,114051
Mbulala,135000
Mitwaba,80089
Moba,200000
Mufunga Sampwe,135583
Mukanga,224231
Mulongo,191198
Mumbunda,103865
Mutshatsha,71445
Nyemba,130000
Nyunzu,112275
Panda,51598
Pweto,53449
Rwashi,159294
Sakania,143509
Sandoa,151106
Songa,127282
Tshamilemba,101342
Vangu,81730
