"disease","state","lga","epiweek","cas"
"Measles","Kebbi","Aliero","2017-01","0"
"Meningitis","Kebbi","Aliero","2017-01","7"
"Cholera","Kebbi","Aliero","2017-01","6"
"Measles","Kebbi","Arewa","2017-01","16"
"Meningitis","Kebbi","Arewa","2017-01","8"
"Measles","Kebbi","Argungu","2017-01","7"
"Meningitis","Kebbi","Argungu","2017-01","4"
"Cholera","Kebbi","Argungu","2017-01","0"
"Measles","Kebbi","Augie","2017-01","2"
"Meningitis","Kebbi","Augie","2017-01","0"
"Measles","Kebbi","Bagudo","2017-01","3"
"Meningitis","Kebbi","Bagudo","2017-01","23"
"Measles","Kebbi","Birnin Kebbi","2017-01","0"
"Meningitis","Kebbi","Birnin Kebbi","2017-01","36"
"Cholera","Kebbi","Birnin Kebbi","2017-01","1"
"Measles","Kebbi","Bunza","2017-01","3"
"Meningitis","Kebbi","Bunza","2017-01","0"
"Cholera","Kebbi","Bunza","2017-01","2"
"Measles","Kebbi","Dandi","2017-01","2"
"Meningitis","Kebbi","Dandi","2017-01","5"
"Cholera","Kebbi","Dandi","2017-01","9"
"Measles","Kebbi","Danko Wasagu","2017-01","0"
"Meningitis","Kebbi","Danko Wasagu","2017-01","1"
"Cholera","Kebbi","Danko Wasagu","2017-01","1"
"Measles","Kebbi","Fakai","2017-01","9"
"Meningitis","Kebbi","Fakai","2017-01","0"
"Cholera","Kebbi","Fakai","2017-01","0"
"Measles","Kebbi","Gwandu","2017-01","0"
"Cholera","Kebbi","Gwandu","2017-01","5"
"Measles","Kebbi","Jega","2017-01","9"
"Meningitis","Kebbi","Jega","2017-01","1"
"Cholera","Kebbi","Jega","2017-01","0"
"Measles","Kebbi","Kalgo","2017-01","0"
"Meningitis","Kebbi","Kalgo","2017-01","0"
"Measles","Kebbi","Koko Besse","2017-01","10"
"Meningitis","Kebbi","Koko Besse","2017-01","5"
"Cholera","Kebbi","Koko Besse","2017-01","4"
"Measles","Kebbi","Maiyama","2017-01","9"
"Meningitis","Kebbi","Maiyama","2017-01","9"
"Cholera","Kebbi","Maiyama","2017-01","0"
"Meningitis","Kebbi","Ngaski","2017-01","0"
"Cholera","Kebbi","Ngaski","2017-01","3"
"Measles","Kebbi","Sakaba","2017-01","18"
"Meningitis","Kebbi","Sakaba","2017-01","0"
"Cholera","Kebbi","Sakaba","2017-01","7"
"Measles","Kebbi","Shanga","2017-01","5"
"Meningitis","Kebbi","Shanga","2017-01","11"
"Cholera","Kebbi","Shanga","2017-01","2"
"Measles","Kebbi","Suru","2017-01","1"
"Meningitis","Kebbi","Suru","2017-01","0"
"Cholera","Kebbi","Suru","2017-01","6"
"Measles","Kebbi","Yauri","2017-01","0"
"Cholera","Kebbi","Yauri","2017-01","0"
"Measles","Kebbi","Zuru","2017-01","5"
"Meningitis","Kebbi","Zuru","2017-01","18"
"Measles","Niger","Agaie","2017-01","0"
"Meningitis","Niger","Agaie","2017-01","8"
"Cholera","Niger","Agaie","2017-01","33"
"Measles","Niger","Agwara","2017-01","1"
"Meningitis","Niger","Agwara","2017-01","3"
"Cholera","Niger","Agwara","2017-01","0"
"Measles","Niger","Bida","2017-01","32"
"Meningitis","Niger","Bida","2017-01","4"
"Cholera","Niger","Bida","2017-01","6"
"Measles","Niger","Borgu","2017-01","0"
"Meningitis","Niger","Borgu","2017-01","0"
"Cholera","Niger","Borgu","2017-01","5"
"Measles","Niger","Bosso","2017-01","6"
"Meningitis","Niger","Bosso","2017-01","0"
"Cholera","Niger","Bosso","2017-01","2"
"Measles","Niger","Chanchaga","2017-01","0"
"Meningitis","Niger","Chanchaga","2017-01","1"
"Cholera","Niger","Chanchaga","2017-01","2"
"Measles","Niger","Edati","2017-01","21"
"Cholera","Niger","Edati","2017-01","2"
"Measles","Niger","Gbako","2017-01","0"
"Cholera","Niger","Gbako","2017-01","18"
"Measles","Niger","Gurara","2017-01","2"
"Cholera","Niger","Gurara","2017-01","19"
"Measles","Niger","Katcha","2017-01","11"
"Meningitis","Niger","Katcha","2017-01","0"
"Cholera","Niger","Katcha","2017-01","13"
"Measles","Niger","Kontagora","2017-01","0"
"Meningitis","Niger","Kontagora","2017-01","0"
"Cholera","Niger","Kontagora","2017-01","0"
"Meningitis","Niger","Lapai","2017-01","0"
"Cholera","Niger","Lapai","2017-01","0"
"Measles","Niger","Lavun","2017-01","1"
"Meningitis","Niger","Lavun","2017-01","8"
"Cholera","Niger","Lavun","2017-01","0"
"Measles","Niger","Magama","2017-01","0"
"Meningitis","Niger","Magama","2017-01","10"
"Cholera","Niger","Magama","2017-01","1"
"Measles","Niger","Mariga","2017-01","4"
"Measles","Niger","Mashegu","2017-01","18"
"Meningitis","Niger","Mashegu","2017-01","0"
"Cholera","Niger","Mashegu","2017-01","11"
"Measles","Niger","Mokwa","2017-01","26"
"Meningitis","Niger","Mokwa","2017-01","3"
"Cholera","Niger","Mokwa","2017-01","0"
"Measles","Niger","Muya","2017-01","17"
"Meningitis","Niger","Muya","2017-01","0"
"Cholera","Niger","Muya","2017-01","0"
"Measles","Niger","Paikoro","2017-01","0"
"Meningitis","Niger","Paikoro","2017-01","6"
"Cholera","Niger","Paikoro","2017-01","1"
"Measles","Niger","Rafi","2017-01","2"
"Meningitis","Niger","Rafi","2017-01","0"
"Cholera","Niger","Rafi","2017-01","0"
"Measles","Niger","Rijau","2017-01","0"
"Meningitis","Niger","Rijau","2017-01","0"
"Cholera","Niger","Rijau","2017-01","0"
"Meningitis","Niger","Shiroro","2017-01","14"
"Cholera","Niger","Shiroro","2017-01","0"
"Measles","Niger","Suleja","2017-01","0"
"Cholera","Niger","Suleja","2017-01","2"
"Measles","Niger","Tafa","2017-01","5"
"Meningitis","Niger","Tafa","2017-01","25"
"Cholera","Niger","Tafa","2017-01","7"
"Measles","Niger","Wushishi","2017-01","0"
"Meningitis","Niger","Wushishi","2017-01","5"
"Cholera","Niger","Wushishi","2017-01","0"
"Measles","Sokoto","Binji","2017-01","0"
"Meningitis","Sokoto","Binji","2017-01","0"
"Cholera","Sokoto","Binji","2017-01","12"
"Measles","Sokoto","Bodinga","2017-01","1"
"Cholera","Sokoto","Bodinga","2017-01","21"
"Measles","Sokoto","Dange Shuni","2017-01","18"
"Meningitis","Sokoto","Dange Shuni","2017-01","0"
"Cholera","Sokoto","Dange Shuni","2017-01","7"
"Measles","Sokoto","Gada","2017-01","5"
"Cholera","Sokoto","Gada","2017-01","1"
"Measles","Sokoto","Goronyo","2017-01","1"
"Meningitis","Sokoto","Goronyo","2017-01","1"
"Cholera","Sokoto","Goronyo","2017-01","0"
"Measles","Sokoto","Gudu","2017-01","0"
"Meningitis","Sokoto","Gudu","2017-01","1"
"Cholera","Sokoto","Gudu","2017-01","0"
"Measles","Sokoto","Gwadabawa","2017-01","1"
"Meningitis","Sokoto","Gwadabawa","2017-01","15"
"Cholera","Sokoto","Gwadabawa","2017-01","6"
"Measles","Sokoto","Illela","2017-01","45"
"Meningitis","Sokoto","Illela","2017-01","4"
"Measles","Sokoto","Isa","2017-01","0"
"Meningitis","Sokoto","Isa","2017-01","23"
"Cholera","Sokoto","Isa","2017-01","18"
"Meningitis","Sokoto","Kebbe","2017-01","5"
"Cholera","Sokoto","Kebbe","2017-01","1"
"Measles","Sokoto","Kware","2017-01","8"
"Meningitis","Sokoto","Kware","2017-01","0"
"Cholera","Sokoto","Kware","2017-01","0"
"Measles","Sokoto","Rabah","2017-01","4"
"Meningitis","Sokoto","Rabah","2017-01","14"
"Cholera","Sokoto","Rabah","2017-01","1"
"Measles","Sokoto","Sabon Birni","2017-01","4"
"Meningitis","Sokoto","Sabon Birni","2017-01","10"
"Cholera","Sokoto","Sabon Birni","2017-01","3"
"Measles","Sokoto","Shagari","2017-01","29"
"Meningitis","Sokoto","Shagari","2017-01","11"
"Cholera","Sokoto","Shagari","2017-01","41"
"Measles","Sokoto","Silame","2017-01","0"
"Cholera","Sokoto","Silame","2017-01","2"
"Measles","Sokoto","Sokoto North","2017-01","0"
"Meningitis","Sokoto","Sokoto North","2017-01","0"
"Cholera","Sokoto","Sokoto North","2017-01","0"
"Measles","Sokoto","Sokoto South","2017-01","0"
"Meningitis","Sokoto","Sokoto South","2017-01","0"
"Cholera","Sokoto","Sokoto South","2017-01","7"
"Measles","Sokoto","Tambuwal","2017-01","0"
"Meningitis","Sokoto","Tambuwal","2017-01","2"
"Cholera","Sokoto","Tambuwal","2017-01","2"
"Measles","Sokoto","Tangaza","2017-01","8"
"Meningitis","Sokoto","Tangaza","2017-01","3"
"Cholera","Sokoto","Tangaza","2017-01","35"
"Measles","Sokoto","Tureta","2017-01","14"
"Meningitis","Sokoto","Tureta","2017-01","7"
"Cholera","Sokoto","Tureta","2017-01","0"
"Measles","Sokoto","Wamako","2017-01","34"
"Meningitis","Sokoto","Wamako","2017-01","5"
"Cholera","Sokoto","Wamako","2017-01","33"
"Measles","Sokoto","Wurno","2017-01","5"
"Meningitis","Sokoto","Wurno","2017-01","7"
"Meningitis","Sokoto","Yabo","2017-01","3"
"Cholera","Sokoto","Yabo","2017-01","0"
"Measles","Zamfara","Anka","2017-01","15"
"Meningitis","Zamfara","Anka","2017-01","5"
"Cholera","Zamfara","Anka","2017-01","43"
"Measles","Zamfara","Bakura","2017-01","0"
"Meningitis","Zamfara","Bakura","2017-01","0"
"Measles","Zamfara","Birnin Magaji","2017-01","21"
"Meningitis","Zamfara","Birnin Magaji","2017-01","7"
"Cholera","Zamfara","Birnin Magaji","2017-01","6"
"Measles","Zamfara","Bukkuyum","2017-01","0"
"Cholera","Zamfara","Bukkuyum","2017-01","10"
"Measles","Zamfara","Bungudu","2017-01","0"
"Meningitis","Zamfara","Bungudu","2017-01","0"
"Cholera","Zamfara","Bungudu","2017-01","6"
"Measles","Zamfara","Gummi","2017-01","1"
"Cholera","Zamfara","Gummi","2017-01","6"
"Measles","Zamfara","Gusau","2017-01","0"
"Meningitis","Zamfara","Gusau","2017-01","5"
"Cholera","Zamfara","Gusau","2017-01","1"
"Measles","Zamfara","Kaura Namoda","2017-01","0"
"Meningitis","Zamfara","Kaura Namoda","2017-01","2"
"Cholera","Zamfara","Kaura Namoda","2017-01","24"
"Measles","Zamfara","Maradun","2017-01","0"
"Meningitis","Zamfara","Maradun","2017-01","9"
"Cholera","Zamfara","Maradun","2017-01","0"
"Measles","Zamfara","Maru","2017-01","2"
"Meningitis","Zamfara","Maru","2017-01","8"
"Cholera","Zamfara","Maru","2017-01","0"
"Measles","Zamfara","Shinkafi","2017-01","0"
"Cholera","Zamfara","Shinkafi","2017-01","8"
"Measles","Zamfara","Talata Mafara","2017-01","1"
"Meningitis","Zamfara","Talata Mafara","2017-01","12"
"Cholera","Zamfara","Talata Mafara","2017-01","0"
"Measles","Zamfara","Tsafe","2017-01","20"
"Cholera","Zamfara","Tsafe","2017-01","1"
"Measles","Zamfara","Zurmi","2017-01","2"
"Meningitis","Zamfara","Zurmi","2017-01","0"
"Cholera","Zamfara","Zurmi","2017-01","19"
"Measles","Kebbi","Aliero","2017-02","0"
"Cholera","Kebbi","Aliero","2017-02","17"
"Measles","Kebbi","Arewa","2017-02","3"
"Meningitis","Kebbi","Arewa","2017-02","5"
"Cholera","Kebbi","Arewa","2017-02","7"
"Measles","Kebbi","Argungu","2017-02","0"
