name,pop
Nyantende,128033
Minova,250887
Kabare,218336
Kadutu,347200
Bagira Kasha,152838
Mulungu,155280
Kaniola,170513
Kalonge,162006
Bunyakiri,231596
Kalehe,170837
Uvira,324785.0039
Kitutu,149189
Kamituga,203847
Minembwe,83562
Nundu,198402
Lemera,172764
Fizi,394513
Kalole,134841
Ibanda,476334
Miti Murrhesa,246070
Mwana,135557
Kaziba,122602
Nyangezi,150360
Mubumbano,188468
Walungu,261362
Hauts Plateaux d'Uvira,142560
Mwenga,134209
Itombwe,90946
Ruzizi,172837
Kimbi Lulenge,170315
Shabunda Centre,189422
Lulingu,169286
Katana,437284
Idjwi,268798
