name,pop
Annexe,750806
"Annexe, Kalebuka",53436
"Annexe, Kalebuka, 3Z",8708
"Annexe, Kalebuka, Bulanda",1677
"Annexe, Kalebuka, Cadastre",3216
"Annexe, Kalebuka, De la Mission",6707
"Annexe, Kalebuka, Gare Munama",154
"Annexe, Kalebuka, Hewa-Bora",8618
"Annexe, Kalebuka, Kafubu",826
"Annexe, Kalebuka, Kalubamba",7274
"Annexe, Kalebuka, Kasamba",3345
"Annexe, Kalebuka, Katwatwa",203
"Annexe, Kalebuka, Kiponda",0
"Annexe, Kalebuka, Malumbwe",348
"Annexe, Kalebuka, Mwenda",664
"Annexe, Kalebuka, Njanja",5654
"Annexe, Kalebuka, Promagri",194
"Annexe, Kalebuka, Route Munama",5662
"Annexe, Kalebuka, Tshilenge",186
"Annexe, Kasapa",107116
"Annexe, Kasapa, CRAA",20266
"Annexe, Kasapa, Kamatete I",8011
"Annexe, Kasapa, Kamatete II",10044
"Annexe, Kasapa, Kamayibwe",18671
"Annexe, Kasapa, Kamisepe I",5565
"Annexe, Kasapa, Kamisepe II",5565
"Annexe, Kasapa, Kampemba",4552
"Annexe, Kasapa, Neema I",15763
"Annexe, Kasapa, Neema II",18679
"Annexe, Kasungami",69840
"Annexe, Kasungami, De la Mission",16257
"Annexe, Kasungami, Fipango",
"Annexe, Kasungami, Kafubu",11964
"Annexe, Kasungami, Kalule",23223
"Annexe, Kasungami, Kasamba",
"Annexe, Kasungami, Kawama",365
"Annexe, Kasungami, Mitelo",8
"Annexe, Kasungami, Mukuwenu",18023
"Annexe, Kimbeimbe",47686
"Annexe, Kimbeimbe, Futuka",
"Annexe, Kimbeimbe, Kapulula",
"Annexe, Kimbeimbe, Kasangiri",948
"Annexe, Kimbeimbe, Kawama",7144
"Annexe, Kimbeimbe, Kiswishi 1",219
"Annexe, Kimbeimbe, Kiswishi 2",
"Annexe, Kimbeimbe, Luano",454
"Annexe, Kimbeimbe, Luluta",
"Annexe, Kimbeimbe, Mulutula",38921
"Annexe, Kimbeimbe, Mutwale",
"Annexe, Kimbeimbe, Petro",
"Annexe, Kisanga",143330
"Annexe, Kisanga, Kansaba",
"Annexe, Kisanga, Kashamata",567
"Annexe, Kisanga, Kilima Simba",0
"Annexe, Kisanga, Kimilolo",22129
"Annexe, Kisanga, Lwapula",9874
"Annexe, Kisanga, Makutano",9307
"Annexe, Kisanga, Mapongo",0
"Annexe, Kisanga, Mulolo",20428
"Annexe, Kisanga, Ngoie Mutwale",19894
"Annexe, Kisanga, Ntanda",11721
